"review_num","ASIN","customer_id","customer_name","title","date","review_rating","content"
B00OZ63ODA__0,B00OZ63ODA,R2ZCPDF9K7UU3I,Amazon Customer,"COSRX AHA/BHA Treatment Toner 5.07 fl.oz/ 150ml, Facial Exfoliating Spray for Whiteheads, Pores, & Uneven Skin, Korean Toner, Not Tested on Animals, No Parabens, No Sulfates, Korean Skin Care","Reviewed in the United States on January 2, 2025","5.0 out of 5 stars","The absolute best skincare line I've found. Comparable to luxury brands, no scent, light and clean, refreshing and moisturizing. No sting or tightness after using. Perfect product for aging skin!"
B00OZ63ODA__1,B00OZ63ODA,RVAEZSV0MP0GT,Belinda,"COSRX AHA/BHA Treatment Toner 5.07 fl.oz/ 150ml, Facial Exfoliating Spray for Whiteheads, Pores, & Uneven Skin, Korean Toner, Not Tested on Animals, No Parabens, No Sulfates, Korean Skin Care","Reviewed in the United States on January 2, 2025","5.0 out of 5 stars",I love it have no reactions to it . My skin feels great after using.
B00OZ63ODA__10,B00OZ63ODA,R220BR6GS7LU6L,Tayhlia,"COSRX AHA/BHA Treatment Toner 5.07 fl.oz/ 150ml, Facial Exfoliating Spray for Whiteheads, Pores, & Uneven Skin, Korean Toner, Not Tested on Animals, No Parabens, No Sulfates, Korean Skin Care","Reviewed in the United States on May 14, 2024","5.0 out of 5 stars","Was really nervous about leaving Clinique after 20+yrs but it wasn't doing it for me anymore. Am really content with this. Catches any dirt my face wash missed. Feels good on my skin, doesn't leave any redness or burning sensation. It is very nice."
B00OZ63ODA__11,B00OZ63ODA,R55MED07SSMN0,Angelina,"COSRX AHA/BHA Treatment Toner 5.07 fl.oz/ 150ml, Facial Exfoliating Spray for Whiteheads, Pores, & Uneven Skin, Korean Toner, Not Tested on Animals, No Parabens, No Sulfates, Korean Skin Care","Reviewed in the United States on April 19, 2024","5.0 out of 5 stars",This stuff cleared my face along with snail mucin I love cos rx sm!!!
B00OZ63ODA__12,B00OZ63ODA,R10VQNB3LUOCEK,Patricia R. Farris,"COSRX AHA/BHA Treatment Toner 5.07 fl.oz/ 150ml, Facial Exfoliating Spray for Whiteheads, Pores, & Uneven Skin, Korean Toner, Not Tested on Animals, No Parabens, No Sulfates, Korean Skin Care","Reviewed in the United States on March 11, 2024","5.0 out of 5 stars",Toner works great on my face
B00OZ63ODA__13,B00OZ63ODA,RV9QQ41WDUHG2,Yasemin turkoglu,"COSRX AHA/BHA Treatment Toner 5.07 fl.oz/ 150ml, Facial Exfoliating Spray for Whiteheads, Pores, & Uneven Skin, Korean Toner, Not Tested on Animals, No Parabens, No Sulfates, Korean Skin Care","Reviewed in the United States on February 26, 2024","5.0 out of 5 stars","I have been using this product for almost a year now. My skin produces a lot of dead skin but is also very sensitive, so it was hard to find a good exfoliator. This toner does not irritate me at all and I use it twice a day! My skin is so soft, makes a perfect base for applying makeup."
B00OZ63ODA__14,B00OZ63ODA,RSSGWRCRMH6JE,Yanyundong,"COSRX AHA/BHA Treatment Toner 5.07 fl.oz/ 150ml, Facial Exfoliating Spray for Whiteheads, Pores, & Uneven Skin, Korean Toner, Not Tested on Animals, No Parabens, No Sulfates, Korean Skin Care","Reviewed in the United States on November 24, 2023","3.0 out of 5 stars",I’m not sure if this product is real or not but there are a lot of differences from the original package. The left is the original and right is the new one.
B00OZ63ODA__15,B00OZ63ODA,R3F3FZPIHVC5AE,Jess,"COSRX AHA/BHA Treatment Toner 5.07 fl.oz/ 150ml, Facial Exfoliating Spray for Whiteheads, Pores, & Uneven Skin, Korean Toner, Not Tested on Animals, No Parabens, No Sulfates, Korean Skin Care","Reviewed in the United States on November 10, 2023","1.0 out of 5 stars",broke me out. I have oily skin that’s not sensitive. I break out every time I use this.
B00OZ63ODA__16,B00OZ63ODA,RLQS4RPDB6117,Lisa Matoni,"COSRX AHA/BHA Treatment Toner 5.07 fl.oz/ 150ml, Facial Exfoliating Spray for Whiteheads, Pores, & Uneven Skin, Korean Toner, Not Tested on Animals, No Parabens, No Sulfates, Korean Skin Care","Reviewed in the United States on October 30, 2023","1.0 out of 5 stars",I bought this hoping it would help the keratosis Pilaris on my face but it dried me out and did nothing good for my skin. Waste of $20
B00OZ63ODA__17,B00OZ63ODA,R37W9M4BHQ4P54,Kimberly Goodridge,"COSRX AHA/BHA Treatment Toner 5.07 fl.oz/ 150ml, Facial Exfoliating Spray for Whiteheads, Pores, & Uneven Skin, Korean Toner, Not Tested on Animals, No Parabens, No Sulfates, Korean Skin Care","Reviewed in the United States on October 8, 2023","5.0 out of 5 stars","I have bought this and a serum from this brand and I love it! There's no smell, it sprays on easy and wipes away just the same, and it doesn't burn my face. Highly recommend this if your looking for an exfoliating toner."
B00OZ63ODA__18,B00OZ63ODA,R1Z4S5R5APM6CW,BellanMick,"COSRX AHA/BHA Treatment Toner 5.07 fl.oz/ 150ml, Facial Exfoliating Spray for Whiteheads, Pores, & Uneven Skin, Korean Toner, Not Tested on Animals, No Parabens, No Sulfates, Korean Skin Care","Reviewed in the United States on September 29, 2023","5.0 out of 5 stars","I have used many cosmetic and skin care lines. After being in the cosmetic industry for 15 years I have used and tried A LOT. I decided after much research to make the leap to a Korean line. WOW, what a differance it has made to my skin! I have turned my sister 52, sister in law 46, best friend 35 and me 58 in to lovers of this line!!
TRY TRY TRY!!!!!"
B00OZ63ODA__19,B00OZ63ODA,R2RP16L7ZO7T9A,Colleen Warnock,"COSRX AHA/BHA Treatment Toner 5.07 fl.oz/ 150ml, Facial Exfoliating Spray for Whiteheads, Pores, & Uneven Skin, Korean Toner, Not Tested on Animals, No Parabens, No Sulfates, Korean Skin Care","Reviewed in the United States on September 18, 2023","5.0 out of 5 stars",My daughter bought if for me because she loves it. I reordered it because I love it. For the first time in my life I don't have any blemishes. I'm addicted!
