"ASIN","title","order","category","brand","price","global_rating_count","description","Special_Feature","total_star_mean","detail_dict","best_sellers_rank_Feature"
B07DR5816K,Dr.Jart+ Cicapair Tiger Grass Color Correcting Treatment SPF 30 | cc cream | Korean Skin Care,1,Makeup,Dr.Jart+,54.0,"3367","{""Benefits"": ""Right after using, 92% said skin looked less red*. *In a consumer study with 106 people between 20-50."", ""Description"": ""A green-to-beige cica cream that instantly neutralizes redness and evens skin tone for a healthy, natural look. It protects skin from the sun with mineral SPF (recommended sunscreen for sensitive skin)."", ""Suggested use"": ""Warm between hands then gently press and blend into skin. The cream will change from green to beige as you blend.""}",Redness relief,4.2,"{""ASIN"": ""B07DR5816K"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Canada"", ""Item model number"": ""H59X011000"", ""Product Dimensions"": ""3.31 x 2.36 x 2.56 inches; 1.7 ounces"", ""Is Discontinued By Manufacturer"": ""No""}","#2,574 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#14 in CC Facial Creams"
B07GTMPYSG,Dr.Jart+ Cicapair Tiger Grass Color Correcting Treatment SPF 30 | cc cream | Korean Skin Care,1,Skin Care Products,Dr.Jart+,25.0,"3367","{""Benefits"": ""Right after using, 92% said skin looked less red*. *In a consumer study with 106 people between 20-50."", ""Description"": ""A green-to-beige cica cream that instantly neutralizes redness and evens skin tone for a healthy, natural look. It protects skin from the sun with mineral SPF (recommended sunscreen for sensitive skin)."", ""Suggested use"": ""Warm between hands then gently press and blend into skin. The cream will change from green to beige as you blend.""}","Travel Size, Redness relief",4.2,"{""ASIN"": ""B07GTMPYSG"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Canada"", ""Item model number"": ""H59Y011000"", ""Product Dimensions"": ""2.76 x 1.57 x 2.05 inches; 3.03 ounces"", ""Is Discontinued By Manufacturer"": ""No""}","#2,574 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#104 in Face Moisturizers"
B081SRDRD7,"Dr.Jart+ Cryo Rubber Brightening Face Mask | Korean Skin Care, 1 Pack",6,Skin Care Products,Dr.Jart+,16.0,"77","{""Benefits"": ""Clinical results after 1 use: Reduced skin’s temperature by 11°F.* *Clinical testing on 20 women aged 20-60 using the product one time."", ""Description"": ""A two-step face mask inspired by Cryotherapy that boosts glow and cools skin. Includes a highly concentrated ampoule with Niacinamide and Vitamin C and a soft, flexible skin-cooling mask."", ""Suggested use"": ""Open ampoule and smooth serum over skin. Apply face mask components. Leave on for 30-40 minutes.""}","Hydrating, Cooling, Moisturizing, Brightening, Depuffing",4.6,"{""ASIN"": ""B081SRDRD7"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""H5A6010000"", ""Product Dimensions"": ""7.28 x 6.5 x 0.01 inches; 3.49 ounces""}","#22,907 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#250 in Facial Masks"
B081SRSNWW,"Dr.Jart+ Cryo Rubber Face Mask with Moisturizing Hyaluronic Acid | Korean Skin Care, 1 Pack",2,Skin Care Products,Dr.Jart+,16.0,"373","{""Benefits"": ""Clinical results after 1 use: Reduced skin’s temperature by 11°F.* *Clinical testing on 20 women aged 20-60 using the product one time."", ""Description"": ""A two-step face mask inspired by Cryotherapy that moisturizes with Hyaluronic Acid and cools skin. It includes a highly concentrated ampoule with Hyaluronic Acid and a soft, flexible, skin-cooling mask."", ""Suggested use"": ""Open ampoule and smooth serum over skin. Gently apply face rubber mask. Sit and leave on for 30-40 minutes.""}",No special feature,4.3,"{""UPC"": ""889810253826"", ""ASIN"": ""B081SRSNWW"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""H5A8010000"", ""Product Dimensions"": ""7.28 x 6.5 x 0.01 inches; 3.49 ounces""}","#10,790 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#116 in Facial Masks"
B084Z4W4PK,"Dr.Jart+ Dermask Micro Jet Brightening Solution Face Mask | Sheet Mask | Korean Skin Care, 1 Pack",27,Skin Care Products,Dr.Jart+,10.0,"37","{""Benefits"": ""Delivers a cooling sensation. Revitalizes tired looking skin with an energizing boost in minutes. Dermatologist tested."", ""Description"": ""After one use, skin looks brighter with a healthy, fresh, vibrant glow."", ""Suggested use"": ""Remove the mask from skin after 10 to 20 minutes. Massage remaining formula into skin.""}",No special feature,4.1,"{""ASIN"": ""B084Z4W4PK"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""H5AR010000"", ""Product Dimensions"": ""4.72 x 7.87 x 0.01 inches; 1.41 ounces""}","#72,212 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#958 in Facial Masks"
B0851XHHLF,"Dr.Jart+ Dermask Intra Jet Wrinkless Solution Face Mask with Glycerin | Sheet Mask | Korean Skin Care, 1 Pack",23,Skin Care Products,Dr.Jart+,10.0,"40","{""Benefits"": ""This fast-acting face mask hydrates skin to smooth out dry lines and reveal a fresh-faced complexion in minutes."", ""Description"": ""A face mask with Glycerin that instantly helps reduce the appearance of dry lines with moisture for younger looking skin. Dermatologist tested."", ""Suggested use"": ""Remove the mask from skin after 20 to 40 minutes. Massage remaining formula into skin.""}",No special feature,4.4,"{""ASIN"": ""B0851XHHLF"", ""Language"": ""English"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""H5AM010000"", ""Product Dimensions"": ""5.51 x 7.87 x 0.01 inches; 1.41 ounces""}","#57,013 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#732 in Facial Masks"
B0851XQ4C3,"Dr.Jart+ Cryo Rubber Firming Face Mask | Korean Skin Care, 1 Pack",4,Skin Care Products,Dr.Jart+,16.0,"99","{""Benefits"": ""Clinical results after 1 use: Reduced skin’s temperature by 11°F.* *Clinical testing on 20 women aged 20-60 using the product one time."", ""Description"": ""A two-step face mask inspired by Cryotherapy that cools and plumps skin with moisture to reduce the look of dry lines. Includes a highly concentrated ampoule with Glycerin and a soft, flexible skin-cooling mask."", ""Suggested use"": ""Open ampoule and smooth serum over skin. Apply face mask components. Leave on for 30-40 minutes.""}","Hydrating, Cooling, Anti-Wrinkle, Firming",4.2,"{""ASIN"": ""B0851XQ4C3"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""H5A5010000"", ""Product Dimensions"": ""7.28 x 6.5 x 0.01 inches; 3.49 ounces""}","#15,510 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#167 in Facial Masks"
B0851XTP55,"Dr.Jart+ Cryo Rubber Soothing Face Mask | Korean Skin Care, 1 Pack",12,Skin Care Products,Dr.Jart+,16.0,"63","{""Benefits"": ""Clinical results after 1 use: Reduced skin’s temperature by 11°F.* *Clinical testing on 20 women aged 20-60 using the product one time."", ""Description"": ""A two-step face mask inspired by Cryotherapy that cools and soothes skin with moisture to reduce the look of redness. It includes a highly concentrated ampoule with Allantoin and a soft, flexible, skin-cooling face mask."", ""Suggested use"": ""Open ampoule and smooth serum over skin. Gently apply face rubber mask. Sit and leave on for 30-40 minutes.""}",No special feature,4.3,"{""UPC"": ""759430482190"", ""ASIN"": ""B0851XTP55"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""H5A7010000"", ""Product Dimensions"": ""7.28 x 6.5 x 0.01 inches; 1.41 ounces""}","#34,957 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#418 in Facial Masks"
B086Q1N8KL,"Dr.Jart+ Dermask Micro Jet Clearing Solution Face Mask | Sheet Mask | Calms, balances & revitalizes skin | Korean Skin Care, 1 Pack",21,Skin Care Products,Dr.Jart+,10.0,"38","{""Benefits"": ""A sheet mask that immediately soothes the skin for a visibly calmer complexion. Dermatologist tested."", ""Description"": ""This fast-acting, at-home face mask delivers an immediate cooling sensation to skin. It leaves skin looking calm, balanced, and soothes skin until it feels serene and revitalized."", ""Suggested use"": ""Leave mask on skin for 15 to 20 minutes. Massage remaining formula into skin.""}",No special feature,4.3,"{""ASIN"": ""B086Q1N8KL"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""H5AP010000"", ""Product Dimensions"": ""4.72 x 7.87 x 0.01 inches; 1.06 ounces""}","#44,437 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#552 in Facial Masks"
B08H5WHLX2,"Dr.Jart+ Teatreement Cleansing Foam Face Wash for Oily Skin | Korean Skin Care, 4.05 Fl Oz",39,Skin Care Products,Dr.Jart+,29.0,"34","{""Benefits"": ""A cleanser with Salicylic Acid and Tea Tree Extract that helps cleanse dirt and debris without washing away moisture."", ""Description"": ""This foamy face wash removes excess oil to help balance pH levels and prep skin for the next step. It’s a gentle everyday cleanser that helps purify oily, acne-prone skin. Dermatologist tested. Scented."", ""Suggested use"": ""Morning and night, wet skin then pump 2-3 drops of cleanser into hands and massage into face. Rinse.""}",No special feature,4.5,"{""ASIN"": ""B08H5WHLX2"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""H59M010000"", ""Product Dimensions"": ""1.85 x 5.91 x 1.85 inches; 6 ounces""}","#151,795 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#1,817 in Facial Cleansing Washes"
B08R1CS5FH,"Dr.Jart+ Cicapair Foaming Face Wash Cleanser | Korean Skin Care, 3.38 Fl Oz",17,Skin Care Products,Dr.Jart+,28.0,"56","{""Benefits"": ""This daily face wash cleanser comes out as luscious cream then lathers into a soft, satisfying bubbly foam."", ""Description"": ""A gentle cream-to-foam cleanser with moisturizing Glycerin that removes impurities without drying skin out. Suitable for sensitive skin."", ""Suggested use"": ""Use as your cleanser daily morning and night. If using at night, remove makeup before cleansing.""}",No special feature,4.4,"{""ASIN"": ""B08R1CS5FH"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""H84M010000"", ""Product Dimensions"": ""0.45 x 0.35 x 0.31 inches; 4.94 ounces"", ""Is Discontinued By Manufacturer"": ""No""}","#44,459 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#683 in Facial Cleansing Washes"
B09W2C8FPY,"Dr.Jart+ Pore.Remedy PHA Exfoliating Face Serum | Korean Skin Care, 1.01 Fl Oz",46,Skin Care Products,No brand,46.0,"46","{""Benefits"": ""After one week, it reduces dead skin cells, decreases blackheads and controls excess oil."", ""Description"": ""A gentle, water-like serum with 7% PHA clinically proven to help resurface and smooth skin, decongest, and visibly shrink pores without irritation."", ""Suggested use"": ""Dispense 2-3 pumps into hands. Press into skin. Use morning and night. Follow sunscreen during the day.""}",No special feature,4.1,"{""ASIN"": ""B09W2C8FPY"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""H5HR010000"", ""Product Dimensions"": ""1.46 x 4.76 x 1.46 inches; 5.29 ounces""}","#279,072 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#5,147 in Facial Serums"
B09W2CM7JL,"Dr.Jart+ Pore.Remedy™ Purifying Mud Face Mask | Sheet Mask | Korean Skin Care, 1 Pack",30,Skin Care Products,Dr.Jart+,10.0,"40","{""Benefits"": ""This pore-clearing sheet mask exfoliates and is specially designed to adhere to problem areas and peel off leaving no mess, just cleaner, smoother healthier-looking skin."", ""Description"": ""A mess-less green mud-coated sheet mask that removes buildup, excess oil and smooths skin with one use and without dehydrating skin."", ""Suggested use"": ""Remove white film. Keep clear film on. Place mask on face adjust for fit. Remove clear film. Wear for 15-20 minutes. Rinse residual mud with water.""}",No special feature,4.1,"{""ASIN"": ""B09W2CM7JL"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""H5HL010000"", ""Product Dimensions"": ""5.51 x 7.09 x 0.08 inches; 0.85 ounces""}","#65,694 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#865 in Facial Masks"
B0B2P8HZ48,"Dr.Jart+ Vital Hydra Solution Hydro Plump Overnight Face Mask with Hyaluronic Acid | Korean Skin Care, 2.53 Fl Oz",22,Skin Care Products,Dr.Jart+,35.0,"31","{""Benefits"": ""Clinically shown to: Keep skin hydrated overnight and help rebuild skin’s barrier overnight."", ""Description"": ""A leave-on, water gel overnight face mask powered by Hyaluronic Acid. This mask floods skin with all-night hydration and helps restore skin’s barrier. It leaves skin smooth and plump with an instant glow. Dermatologist-tested, sensitive skin friendly."", ""Suggested use"": ""At night, apply the night mask in a thin, even layer. In the morning, rinse off the mask.""}",No special feature,4.4,"{""ASIN"": ""B0B2P8HZ48"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""H7XR010000"", ""Product Dimensions"": ""2.52 x 2.52 x 2.48 inches; 6.35 ounces""}","#50,052 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#628 in Facial Masks"
B0B38YLVVH,"Dr.Jart+ Cicapair Sleepair Intensive Repair Night Face Mask | Skin Barrier Repair | Korean Skin Care, 2.53 Fl Oz",7,Skin Care Products,Dr.Jart+,45.0,"42","{""Benefits"": ""While you sleep, it hydrates skin and boosts barrier repair for more resilient skin. This night mask leaves skin glowing with hydration by morning"", ""Description"": ""A leave-on, night mask that instantly smooths, reduces visible redness and repairs the skin barrier. Dermatologist tested. Suitable for sensitive skin."", ""Suggested use"": ""As the last step of your night routine, apply an even layer of the night mask. Leave on overnight, rinse off in morning.""}",No special feature,4.5,"{""ASIN"": ""B0B38YLVVH"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""H7NE010000"", ""Product Dimensions"": ""2.48 x 2.48 x 2.46 inches; 6.74 ounces""}","#73,235 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#970 in Facial Masks"
B0B3VNLQNZ,Dr.Jart+ Dermask Porecting Solution Face Mask for Reducing Oil and Pore Tightening | Bubbling Charcoal Korean Face Mask | Korean Skin Care,42,Skin Care Products,Dr.Jart+,37.0,"23","{""Benefits"": ""A no-rinse, bubbling charcoal face mask that reduces oil, hydrates, and tightens visible pores to leave skin matte."", ""Description"": ""A no-rinse, bubbling charcoal face mask that instantly reduces oil, hydrates, and tightens visible pores to leave skin matte."", ""Suggested use"": ""It removes excess sebum leaving skin feeling clean, fresh, and smooth after one use.""}","Non-Comedeogenic, Anti-Blemish, Oil Control, Cleansing",3.9,"{""ASIN"": ""B0B3VNLQNZ"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Korea, Republic of"", ""Product Dimensions"": ""0.5 x 0.4 x 0.29 inches; 7.37 ounces""}","#164,090 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#2,285 in Facial Masks"
B0B4DMYP41,"Dr.Jart+ Ceramidin Cream-Infused Face Mask for Dry Skin with Ceramides and Panthenol | Sheet Mask | Korean Skin Care, 1 Pack",20,Skin Care Products,Dr.Jart+,16.0,"38","{""Benefits"": ""This face mask for very dry skin brings dry, dull flaky skin back to life."", ""Description"": ""A face mask that lets you multi-task. This adhesive face mask for very dry skin coated in a rich cream with Ceramide NP delivers 24 hours of moisture and boosts skin’s barrier strength by 31%.*"", ""Suggested use"": ""Peel off the film from the mask. Wear for 20 minutes, remove the face mask, and massage the remaining cream into skin.""}","Strengthening, Hydrating, Moisturizing, Softening",4.4,"{""ASIN"": ""B0B4DMYP41"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""H72E010000"", ""Product Dimensions"": ""0.24 x 6.38 x 7.32 inches; 2.12 ounces""}","#47,915 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#600 in Facial Masks"
B0CBSZN38W,"Dr.Jart+ Teatreement Face Moisturizer for Oily Skin with Niacinamide and Glycerin | Korean Skin Care, 1.69 Fl Oz",34,Skin Care Products,Dr.Jart+,35.0,"34","{""Benefits"": ""Clinical Results: Reduced sebum levels by 18%* *Clinical testing on 20 people after using product for 4 weeks."", ""Description"": ""A gel face cream that delivers moisture without adding worrisome oil to oily skin, combination skin or blemish-prone skin. Dermatologist tested. Scented."", ""Suggested use"": ""Squeeze a dime-size amount of moisturizer into hands and gently massage into skin. Use morning and night.""}",Lightweight,4.7,"{""ASIN"": ""B0CBSZN38W"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""H59L010000"", ""Product Dimensions"": ""1.57 x 5.71 x 1.26 inches; 2.47 ounces""}","#105,262 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#2,471 in Face Moisturizers"
B0CBSZVRYX,"Dr.Jart+ Every Sun Day Sun Fluid Sunscreen SPF 50+ for Face | Korean Skin Care, 3.38 Fl Oz",36,Skin Care Products,No brand,44.0,"39","{""Benefits"": ""Fluid formula with SPF glides on like a dream and leaves no white cast behind, just a hydrated, healthy-looking finish."", ""Description"": ""A light liquid sunscreen for face that absorbs into skin for a radiant finish and high SPF protection."", ""Suggested use"": ""Massage a dime-size amount over face and neck (the back of hands, too!) at least 20 minutes before sun exposure.""}",No special feature,4.5,"{""ASIN"": ""B0CBSZVRYX"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Canada"", ""Item model number"": ""H5AX011000"", ""Product Dimensions"": ""1.81 x 4.9 x 1.38 inches; 4.41 ounces""}","#124,420 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#545 in Facial Sunscreens
#13,704 in Facial Skin Care Products"
