"review_num","ASIN","customer_id","customer_name","title","date","review_rating","content"
B07DR5816K__0,B07DR5816K,R1AVY9U9QOGEMA,Kelli C,Dr.Jart+ Cicapair Tiger Grass Color Correcting Treatment SPF 30 | cc cream | Korean Skin Care,"Reviewed in the United States on January 18, 2025","3.0 out of 5 stars",Not as good as people hype it up to be. I’ll use it until it’s gone but I have no plan to ever reorder.
B07DR5816K__1,B07DR5816K,R6EYDZA8D6SJ4,Amazon Customer,Dr.Jart+ Cicapair Tiger Grass Color Correcting Treatment SPF 30 | cc cream | Korean Skin Care,"Reviewed in the United States on January 18, 2025","3.0 out of 5 stars","Had to use this for a bit to give it a review. It is moisturizing, has sunscreen and does a good job at covering the redness, so those points are great. But, the price point is what makes me give it 4 stars."
B07DR5816K__10,B07DR5816K,R1HH7S9OB3F6F2,Wow! Major difference,Dr.Jart+ Cicapair Tiger Grass Color Correcting Treatment SPF 30 | cc cream | Korean Skin Care,"Reviewed in the United States on January 3, 2025","5.0 out of 5 stars",Big chefs kiss to this product! I live by the beach and it’s a perfect layer to put on my face before heading for a beach walk. It’s also so light!
B07DR5816K__11,B07DR5816K,R3IRB8D9XK5AU1,Nicole K,Dr.Jart+ Cicapair Tiger Grass Color Correcting Treatment SPF 30 | cc cream | Korean Skin Care,"Reviewed in the United States on December 29, 2024","5.0 out of 5 stars","I have used this off and on for years. I have very red, dry, sensitive skin. I used to have severe acne so the hyperpigmentation is REAL- especially being fair skinned. I now use retin-a so it is even drier. I recommend applying when skin is still damp for best moisture. Highly recommend for those with redness issues who are tired of applying thick/heavy foundations. I get compliments on my skin all the time while only wearing this :) It is also good for your skin which you can't say about foundations. Buy it, the half size has lasted me over 4 months!"
B07DR5816K__12,B07DR5816K,R1NPIOPYAQ7NH9,Jacqui Suarez,Dr.Jart+ Cicapair Tiger Grass Color Correcting Treatment SPF 30 | cc cream | Korean Skin Care,"Reviewed in the United States on December 24, 2024","5.0 out of 5 stars","As a redhead with pale skin and red undertones, I can’t believe I didn’t find this product until I was 30 years old. Wow, it dries looking like my skin, only with a warmer color. It’s not greasy and there’s no strong smell. It’s similar to using tinted Elta sunscreen, except less greasy. I’ll keep with this product for sure!"
B07DR5816K__13,B07DR5816K,R3BJ5LSWP0AWO6,Net,Dr.Jart+ Cicapair Tiger Grass Color Correcting Treatment SPF 30 | cc cream | Korean Skin Care,"Reviewed in the United States on December 24, 2024","1.0 out of 5 stars","I’ve thought about buying this for a few years now, and always didn’t as the price is a lot to just try something that may or may not work. Well I saw a video of a gal that had very red skin she used this and it worked. So I was like SOLD well got it today and tried it out right away. To just be completely disappointed. It literally covers nothing, doesn’t even kind of lighten the redness. Didn’t cover my rosie cheeks, and didn’t even touch a reddish acne scar I have. It also has a very weird smell."
B07DR5816K__14,B07DR5816K,R34YRGQ5DKZMCF,Amazon KReader,Dr.Jart+ Cicapair Tiger Grass Color Correcting Treatment SPF 30 | cc cream | Korean Skin Care,"Reviewed in the United States on December 20, 2024","5.0 out of 5 stars","I don't have to worry about foundation with this product. I have red marks from a bad micro blade job that I got most of the dye off of. But the red mark remains, I go over it with this and bam, it's gone. You would never know. It last all day, too. I found that it's helping to improve my skin, too. It may be expensive, but it's worth it. A little goes a long way."
B07DR5816K__15,B07DR5816K,R1EIKHLSHBKFG3,Sunshine from Florida,Dr.Jart+ Cicapair Tiger Grass Color Correcting Treatment SPF 30 | cc cream | Korean Skin Care,"Reviewed in the United States on December 20, 2024","2.0 out of 5 stars","I recently tried the Dr.Jart+ Cicapair Tiger Grass Color Correcting Treatment and found it to be quite thick and greasy. It feels very heavy and sticky on the skin, which was not ideal for my older, mature skin and caused breakouts. The color correction feature primarily comes from the green tint titanium dioxide, which casts a white shadow on your face. Essentially, it’s a titanium dioxide sunscreen with added botanicals. Save your money and buy straight titanium dioxide and mix it with a green color corrector.
For the price point, it’s too expensive given the small quantity and the benefits it claims to deliver. However, it is a good sunscreen and does have a pleasant scent. Overall, it just wasn’t the right fit for me."
B07DR5816K__16,B07DR5816K,R162RHRI7YV5C5,Jordan Hawver,Dr.Jart+ Cicapair Tiger Grass Color Correcting Treatment SPF 30 | cc cream | Korean Skin Care,"Reviewed in the United States on December 19, 2024","3.0 out of 5 stars","I was really hoping to love this product, since I don't like wearing foundation and have a lot of redness to cover. I also liked that it had SPF. Unfortunately, it made my very fair, neutral undertoned face look greasy and jaundiced. Maybe if you already have a golden undertone it'll work out for you, but I just looked shiny and sickly."
B07DR5816K__17,B07DR5816K,R3ESM42DFJAPLF,sirrita,Dr.Jart+ Cicapair Tiger Grass Color Correcting Treatment SPF 30 | cc cream | Korean Skin Care,"Reviewed in the United States on December 18, 2024","4.0 out of 5 stars",It works but not that great there is definitely better out there but still recommend.
