"ASIN","title","order","category","brand","price","global_rating_count","description","Special_Feature","total_star_mean","detail_dict","best_sellers_rank_Feature","Ingredients","is_bundle"
B010FOFHEY,"I'm from] Honey Mask 4.23oz | wash off type, real honey 38.7%, Mature skin, Deep moisturization, Nourishment,and Clear Complexion.",12,Skin Care Products,I'm from,28.97,"1486","{""description"": ""Real Natural honey 38.7% inside! Do not dry up your skin. You can leave it on skin more than 20 ~ 30 mins.\nWash-Off Mask, Hydrates skin from inner layers to the outer layers\nExtra Benefit - Improves Elasticity, Smoothing Care, Exfoliation for a clear complexion.\nLOOK MORE YOUTHFUL: Smooth, soften and tighten dry skin that's sagging and lost its elasticity\nContaining *comedogenic* ingredients | Cruelty-free, Ethanol-free, Silicon Oil-free, Artificial Coloring & Fragrance-free\nPLEASE READ! **The cap was renewed with no cap sealing. Wishtrend Send out only the \""NEW\"" product. If you belive you have a issue with the product, send us message, so we can look into more closely with the case. Please be informed ** Expiration date is written in order of YYYY, MM, DD""}",No special feature,4.5,"{""UPC"": ""759430456306"", ""ASIN"": ""B010FOFHEY"", ""Item model number"": ""IM-01"", ""Product Dimensions"": ""2.17 x 2.17 x 2.36 inches; 9.74 ounces"", ""Is Discontinued By Manufacturer"": ""No""}","#57,673 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#757 in Facial Masks",,0
B0122MNCLC,"[I'm From] Vitamin Tree Water Gel 75g, Vitamin C, B3, Vitamin Water 68%, Niacinamide, Cool sensation, Moistuizing, Organic moisturizer",13,Skin Care Products,I'm from,21.16,"253","{""description"": ""This gel moisturizer contains 68% Vitamin Tree Leaf Water extracted from infused vitamin tree leaves.\nThe product applies with a cool sensation to provide excellent moisturizing and illuminating effects.\nAll skin type, Great for summer time moisturizer\nGreat for sensitive skin who can't use ascorbic acid""}",No special feature,4.5,"{""ASIN"": ""B0122MNCLC"", ""Item model number"": ""IF-001"", ""Product Dimensions"": ""5 x 1.06 x 0.83 inches; 7.76 ounces"", ""Is Discontinued By Manufacturer"": ""No""}","#77,638 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#1,906 in Face Moisturizers",,0
B06XPX4DGF,"[I'M FROM] Ginseng Serum, 30ml, elasticity, anti-wrinkle, 7.98% ginseng extract",14,Skin Care Products,I'm from,23.85,"1101","{""description"": ""FORMULATED WITH 7.98% CONCENTRATED GINSENG EXTRACT: Enhances blood circulation for a lively complexion and provides necessary nourishments for healthier, younger skin.\nGINSENG EXTRACT PENETRATES DEEP INTO THE SKIN: Increases elasticity and promotes a luminous complexion from the inside out.\nCONCENTRATED ANTIOXIDANT PROPERTIES: Purifies fatigued skin from external stimuli and accumulated waste, leaving it refreshed.\nRECOMMENDED FOR: Those seeking nourishment and enrichment. Individuals with fatigued, malnourished skin. Anyone looking for wrinkle repair and skin rejuvenation.\nRED GINSENG AND PANAX GINSENG SEED OIL: Delivers nourishment and moisturization, adding elasticity to loose, tired skin.""}",No special feature,4.2,"{""ASIN"": ""B06XPX4DGF"", ""Manufacturer"": ""I'M FROM"", ""Item model number"": ""WC030800H005"", ""Is Discontinued By Manufacturer"": ""No""}","#81,916 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#1,659 in Facial Serums",,0
B06XSW24XP,"I'm from] Ginseng Mask, detox, elasticity, prevent fine lines, 3.97% ginseng extract, 120g, 4.23oz",19,Skin Care Products,I'm from,23.89,"680","{""description"": ""Formulated with 3.97% concentrated ginseng extract, the Ginseng Mask is designed to naturally open up your pores to deeply cleanse while replenishing the necessary nourishments for healthier, younger skin\nThe natural heating properties of ginseng opens the pores to release impurities, and aids the absorption of active ingredients.\nFilling in the skin with nutrients where there once was impurities, this serum thoroughly hydrates the skin to make it shiny and healthy.\nThe concentrated antioxidant properties of the ginseng extract purifies skin that is fatigued from external stimuli and accumulated waste.\n* Those with sensitive skin should test the product on areas such as the inner arm before using directly on the face.""}",No special feature,4.1,"{""ASIN"": ""B06XSW24XP"", ""Manufacturer"": ""I'M FROM"", ""Item model number"": ""SG_B06XSW24XP_US"", ""Product Dimensions"": ""2.76 x 2.56 x 2.44 inches; 10.41 ounces"", ""Is Discontinued By Manufacturer"": ""No""}","#153,519 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#2,158 in Facial Masks",,0
B07FP453RC,"I'm From Mugwort Essence | 100% Vegan Extract - Soothe Sensitive and Irritated Skin, Redness Relief, Refreshing, Korean Hydrating toner | 5.4 Fl Oz, All Skin Types, PETA approved",4,Skin Care Products,I'm from,27.49,"1432","{""description"": ""100% TOP-QUALITY MUGWORT FROM GANGHWA FROM S.KOREA - Extracted mugwort with the slow-release extraction method to maximize the nutrients in the concentrate. It contains 100% extract and its original effects as it is into the bottle.\nCALLED TEA TREE IN KOREA - Mugworts are called 'tea tree' in Korea for its soothing and cleansing effect. Korean native herb Mugwort holds a unique scent of Chineol containing vitamins, minerals, and tannins.\nCALM AND SOOTHE IRRITATED SKIN - The soft, thin and fluid texture quickly cleanses and detox sensitive skin. As a Korean natural herb, it has been widely known for treatments and detoxing effects. This is effective for treating troubled, irritated skin. Apply the essence to areas with concerns to see instant effects. Also may be used as a facial mist, Mugwort bath, and feminine mist.\nSTRONG ANTIOXIDANT - Korean mugwort is known for its unique scent and antioxidants, full of vitamins and minerals to restore youth and energy as well as for its amazing calming and detoxifying effects, making it excellent for skincare.\nRECOMMENDED FOR TROUBLED, RED, AGITATED SKIN - such as after long sun-exposure, shaving, outdoor activities, and stressful days.\nAnimal Creulty-Free, Vegan Friendly, Silicon-free, Steroid-free, Artificial coloring, fragrance-free/ 160ml / All Skin Types / Made in Korea""}",No special feature,4.6,"{""ASIN"": ""B07FP453RC"", ""Manufacturer"": ""Skin&Lab"", ""Item model number"": ""IF10102"", ""Product Dimensions"": ""7.48 x 1.97 x 1.97 inches; 13.4 ounces"", ""Date First Available"": ""January 22, 2019"", ""Is Discontinued By Manufacturer"": ""No""}","#12,370 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#110 in Facial Toners & Astringents","After toning, apply an appropriate amount of essence and gently pat onto the face, focusing on sensitive areas for optimal absorption.",0
B07FPG3NQ7,"[I'M FROM] Mugwort Mask 3.88 fl oz | Natural Herb, Tea tree, Wash-off, Cooling and fast Soothing Breakouts, for Sensitive skin",11,Skin Care Products,I'm from,25.32,"790","{""description"": ""CALMING & DETOXIFYING EFFECT: Experience the calming and detoxifying effect on the skin with this wash-off mask, containing ground mugwort from Ganghwa Island.\nTROUBLE TREATMENT & SKIN IRRITATION RELIEF: Helps treat troubles and irritation on the skin, leaving your skin feeling soothed and refreshed.\nGENTLE FOR EVERYDAY USE: Gentle enough for everyday use, making it a perfect addition to your skincare routine.\nHIGHLY CONCENTRATED GEL FORMULA: The wash-off mask features a highly concentrated gel formula that preserves the active ingredients of plant extracts, delivering their benefits directly to the skin.\nCOOLING AND FAST SOOTHING: Enjoy the cooling and fast soothing sensation, providing a refreshing experience with each use of this mugwort-infused mask.\nMugwort is similar to tea tree for the benefit but much more less irritating.""}",No special feature,4.6,"{""UPC"": ""759430449384"", ""ASIN"": ""B07FPG3NQ7"", ""Item model number"": ""IF-011"", ""Product Dimensions"": ""2.95 x 2.56 x 2.56 inches; 9.17 ounces"", ""Is Discontinued By Manufacturer"": ""No""}","#55,735 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#729 in Facial Masks",,0
B07FPV6J65,"I'm from Rice Mask 3.88 Oz, Gentle Exfoliating Wash Off Facial Mask for Dull, Rough Skin, Pore Clearing, Remove Dead Skin Cells, Uneven Skin Tone, Smooth Skin, Moiustirinzg, Radiant",8,Skin Care Products,I'm from,22.85,"369","{""description"": ""RICE-INFUSED SKIN RENEWAL: Immerse your skin in the goodness of 4.1% rice from Yeoju, Korea. Gently exfoliate and remove accumulated dead skin cells and impurities, unveiling a smoother and clearer complexion.\nVITAMIN-ENRICHED FORMULA: Packed with Vitamin B1, B2, and rice water, this mask is a powerhouse of minerals. Experience skin tightening and pore refinement for a rejuvenated look.\nNATURAL GLOW BOOST: Infused with Rice Bran and Rice Powder, this scrub works wonders in removing dead skin cells and impurities. Rediscover your skin's natural glow and translucence, restoring its radiant beauty.\nGENTLE YET EFFECTIVE: The scrub's fortified formula ensures a gentle exfoliation process, making it suitable for all skin types. Say goodbye to dullness and hello to a revitalized complexion.\nSKIN NOURISHMENT & TIGHTENING: Indulge in the nourishing properties of rice water and the tightening effects of Vitamin B1, B2. Bid farewell to loose skin and enlarged pores, embracing a more refined and toned appearance.""}",No special feature,4.3,"{""ASIN"": ""B07FPV6J65"", ""Item model number"": ""IMF-004"", ""Product Dimensions"": ""2.76 x 2.56 x 2.36 inches; 9.7 ounces"", ""Is Discontinued By Manufacturer"": ""No""}","#48,122 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#614 in Facial Masks",,0
B07K23HV61,"I'm from Rice Toner, Milky Toner for Glowing Skin, 77.78% Korean Rice, Glow Essence with Niacinamide, Hydrating for Dry, Dull, Combination Skin, Vegan, Fragrance Free, Glass Skin 5.07 Fl Oz",1,Skin Care Products,I'm from,21.49,"9519","{""description"": ""HYDRATION & LUMINOSITY BOOST: Improves hydration and moisture barrier with an illuminating effect, enhancing your skin's natural radiance. Balances oil and water levels for a harmonized and refreshed complexion.\nNOURISHING RICE EXTRACT FORMULA: Contains 77.78% Goami rice extract and a blend of four vegetable-originated extracts. Soothes flaky dead skin cells by forming a moisture protective layer, while Sirtuin from rice protects against sun damage and relieves skin stress.\nPURE & POTENT GOAMI RICE: Sourced from Yeoju, Korea, Goami rice is rich in hemicellulose and cultivated in a clean environment with abundant water and fertile soil.\nPROTECTIVE BARRIER & LUSTER: Forms a protective barrier, preventing water loss and eliminating dead skin cells. Provides luster and moisturization, rejuvenating dry and tired skin for a revitalized look.\nDOUBLE-LAYER MOISTURIZATION: Shake well to mix the water and emulsion layers. The milky texture ensures deeper moisturization and nourishment, offering elasticity care with 77.78% rice extract. Suitable for all skin types, including oily, sensitive, dry, and combination skin.""}",No special feature,4.5,"{""ASIN"": ""B07K23HV61"", ""Manufacturer"": ""I'm from"", ""Item model number"": ""IMF-001"", ""Product Dimensions"": ""7.09 x 1.89 x 1.89 inches; 0.01 ounces"", ""Date First Available"": ""November 6, 2018"", ""Is Discontinued By Manufacturer"": ""No""}","#781 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#12 in Facial Toners & Astringents","1. Shake well to mix the water and emulsion layers. 2. After cleansing, saturate a cotton pad with the toner. 3. Gently sweep the cotton pad over your face and neck.",0
B07TY8S6TZ,"I'm from Mugwort Cream, For all skin type, 1.69 fl oz | Moisturizer with 73.55% Mugwort Extract, Soothing, Calming, Redness Relief with Sebum control",9,Skin Care Products,I'm from,23.28,"529","{""description"": ""73.55% PURE MUGWORT EXTRACT: Harness the soothing power of 73.55% pure Mugwort extract from Ganghwa, Korea, for hydration, nourishment, and calming effects.\nREFRESHING TEXTURE: The refreshing and gentle formula quickly absorbs into the skin without a sticky feel to restore the skin to its original softness and health.\nSKIN BENEFITS OF MUGWORT: Korean Mugwort is known for its unique scent and antioxidants, providing vitamins and minerals for restoring youth and energy. It calms, detoxifies, and prevents rashes, itching, and irritation.\nGOOD FOR RELIEVING, SOOTHING, REFRESHING, PURIFYING: Recommended for relieving, soothing, refreshing, and purifying.\nIDEAL FOR SENSITIVE AND IRRITATED SKIN: Perfect for sensitive, red, and irritated skin, as well as rough and dry skin.""}",Antioxidant,4.5,"{""ASIN"": ""B07TY8S6TZ"", ""Manufacturer"": ""Skin&lab"", ""Item model number"": ""IMF007"", ""Product Dimensions"": ""2.17 x 2.17 x 1.97 inches; 5.57 ounces""}","#46,998 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#1,218 in Face Moisturizers",,0
B0822FWG48,"I'm from] Honey Glow Cream 50g, Non-sticky honey barrier for the skin",2,Skin Care Products,I'm from,26.66,"162","{""description"": ""HONEY COMPLEX MAGIC: Immerse yourself in the richness of our unique Honey Glow Queen (Honey Complex), featuring 30.63% of 7 active ingredients for a lavish skincare experience.\nRICH MOISTURE INFUSION: The honey complex delivers a burst of rich moisture to distressed skin, providing deep hydration that revitalizes and nourishes, leaving your skin feeling replenished.\nELASTICITY BOOST & LUMINOSITY: Enhance skin elasticity, minimize fine lines, and enjoy a luminous effect with this nutritious cream. Experience a radiant complexion and a more youthful appearance.\nSMOOTH, SILKY TEXTURE: The cream's smooth and silky texture effortlessly absorbs deep into your skin. Strengthen your skin barrier and achieve a harmonious water-oil balance for a radiant and healthy-looking complexion.\nNATURAL GOODNESS: Formulated with nature's best, this cream is a powerhouse of honey's benefits. Pamper your skin with the goodness of our unique honey complex, embracing a natural glow and improved overall skin health.""}",No special feature,4.2,"{""ASIN"": ""B0822FWG48"", ""Manufacturer"": ""I'm From"", ""Item model number"": ""IF10115"", ""Product Dimensions"": ""2.36 x 2.76 x 1.89 inches; 7.76 ounces""}","#197,454 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#4,382 in Face Moisturizers",,0
