"ASIN","title","order","category","brand","price","global_rating_count","description","Special_Feature","total_star_mean","detail_dict","best_sellers_rank_Feature","Ingredients","is_bundle"
B083QCJPDD,[Beauty of Joseon] Centella Asiatica Calming Mask 10ea,12,Skin Care Products,Beauty of Joseon,22.45,"351","{""description"": ""[Skin Calming] It helps soothe and regenerate the skin because it contains 15% of Centella Asiatica, which is known to be effective for skin regeneration. This sheet mask is helpful for those who cannot apply makeup due to dry skin, or for those who want to moisturize their skin due to easily irritable skin problems.\n[Healthier skin] It helps maintain the natural health of the skin because it contains natural herbal ingredients such as mugwort extract, ballware extract, ginseng extract, and green tea extract.\n[Centella Asiatica Extract 15%] Centella asiatica is an ingredient known to help heal wounds since the ancient times, and it helps soothe and regenerate sensitive and damaged skin.\n[hyaluronic acids] There are three hyaluronic acids that can help keep your skin moist and healthy (hyaluronic acid, hydrolyzed hyaluronic acid, sodium hyaluronic acid).\n1. It was produced in a safe manufacturing facility certified by GMP. 2. All product booking boxes are manufactured using FSC-certified paper. 3. This product is cruelty-free and is against animal experiments. 4. We did not use artificial fragrance and colorants, essential oil, mineral oil, etc., that may irritate sensitive skin.""}",No special feature,4.5,"{""UPC"": ""691266703059"", ""ASIN"": ""B083QCJPDD"", ""Manufacturer"": ""Beauty of Joseon"", ""Item model number"": ""JSMP01-M"", ""Product Dimensions"": ""6.69 x 1.38 x 5.12 inches; 1.06 ounces""}","#21,972 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#247 in Facial Masks",,0
B086VKZZZY,"Beauty of Joseon Glow Serum Propolis and Niacinamide Hydrating Facial Soothing Moisturizer for Irritated Uneven Skin Tone, Korean Skin Care 30ml, 1 fl.oz",2,Skin Care Products,No brand,16.58,"6125","{""description"": ""Korean Skincare Brilliance: Dive into the world of K-beauty with our Glow Serum, a harmonious blend of traditional Joseon skincare practices and modern innovations. Experience the glow that defines Korean beauty.\nGlows and Exfoliates: Niacinamide keeps the skin stronger and hydrated. Skin tone and pore improvement. BHA will mildly exfoliate.\nKey ingredients: 60% Propolis & 2% Niacinamide Elixir, energy of propolis and the revitalizing essence of niacinamide. Our serum brings together Korean skincare treasures to provide a nourishing and anti-aging boost.\nAll-Day Hydration: Our unique blend ensures consistent hydration, leaving your skin with a captivating, radiant glow.\nGreat Gift: Perfect for grand parents, moms, dads, girlfriends and boyfriends as a birthday gift and event for special occasions. Present your loved ones with this glow serum korean skincare.""}",No special feature,4.5,"{""ASIN"": ""B086VKZZZY"", ""Manufacturer"": ""Beauty of Joseon"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""8809657114960"", ""Product Dimensions"": ""1.65 x 1.73 x 3.78 inches; 2.4 ounces""}","#452 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#17 in Facial Serums",,0
B08RLZ28QK,"Beauty of Joseon Ginseng Essence Water Hydrating Face Toner for Dry, Dull Skin. Korean Moisturizing Skin Care for Men and Women 150ml, 5 fl.oz",4,Skin Care Products,Beauty of Joseon,17.48,"4180","{""description"": ""Skin Harmony: Whether you're dealing with oily or dry skin, this ginseng essence water serves as a gentle astringent, toner, and hydrating solution, leaving your face feeling revitalized and glowing.\nK-Beauty Essential: Elevate your personal care routine with Beauty of Joseon, where traditional Korean skincare meets modern beauty. A perfect fusion of toner, moisturizer, and essence, making it the best in Korean skincare.\nKey Ingredients: Ginseng Water 80% for moisturizing and energizing the skin with full nutrition. Niacinamide 2% for Niacinamide 2% for skin barrier, tone up, pore closing. BHA 0.5% for exfoliating\n[Ginseng hydration] Ginseng is a vital herbal ingredient that has been used for a long time for our body and skin health. It contains 80% of ginseng water and focuses on the benefits of ginseng itself, giving sufficient moisture and nutrition to the skin. It fills moisture and nutrition firmly to help keep your skin moisturized for a long period of time.\nGreat Gift: Perfect for grand parents, moms, dads, girlfriends and boyfriends as a birthday gift and event for special occasions. Present your loved ones with this ginseng essence water korean skincare.""}",No special feature,4.6,"{""ASIN"": ""B08RLZ28QK"", ""Item model number"": ""8809738310960"", ""Product Dimensions"": ""1.97 x 1.97 x 6.69 inches; 9.17 ounces"", ""Date First Available"": ""February 24, 2021""}","#3,659 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#42 in Facial Toners & Astringents","Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.",0
B09KH1NN7B,"Beauty of Joseon Apricot Blossom Peeling Gel Soft Exfoliating Face and Body Scrub Dead Skin Cells Remover for All Skin Types, Korean Skincare for Men Women, 100ml, 3.38 fl.oz",10,Skin Care Products,Beauty of Joseon,13.0,"636","{""description"": ""Gentle Exfoliant, Powerful Results: Unveil your skin's natural radiance with our Apricot Blossom Peeling Gel, featuring a gomage texture that minimizes irritation while gently rolling away dead skin cells and impurities for better skin turnover.\nPlum Tree Flowers: Enriched with 19% plum tree flowers, this exfoliator provides a rich source of antioxidants like polyphenols and flavonoids, promoting clearer, more moisturized skin.\nPlant-Derived Cellulose: Formulated with 8% plant-derived cellulose extracted from cotton, our peeling gel ensures a thorough cleanse by gently scrub in circular motions, leaving your skin soft and supple.\nKorean Beauty Essential: Perfect for all skin types, this Korean beauty essential addresses acne, pores, and uneven texture, offering a soft and gentle exfoliation experience. Elevate your skincare routine and let your inner beauty shine through.\nGreat Gift: Perfect for grand parents, moms, dads, girlfriends and boyfriends as a birthday gift and event for special occasions. Present your loved ones with this ginseng cleansing oil korean skincare.""}",No special feature,4.4,"{""ASIN"": ""B09KH1NN7B"", ""Item model number"": ""8809738312872"", ""Product Dimensions"": ""1.77 x 1.77 x 6.14 inches; 3.53 ounces""}","#9,714 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#36 in Facial Scrubs","1. Apply a small amount of product to clean, damp skin. 2. Gently massage in circular motions. 3. Rinse thoroughly with water.",0
B09N8NGJ77,Beauty of Joseon Low pH Rice Face and Body Cleansing Bar Soap Gentle Moisturizing Skin Clenaser For Sensiive Skin Korean Skin Care 100g,13,Skin Care Products,Beauty of Joseon,12.0,"243","{""description"": ""Thorough Cleansing: Mild acidic cleanser that helps to cleanse the face without damaging the natural skin barrier\nHypoallergenic surfactant: Beauty of Joseon cleansing bar uses a very mild surfactant so-called 'Baby foam', which is mainly used in cleaning products for infants and toddlers.\nMoisture: Contains olive oil and rice bran extract, which are good for moisturization, it doesn't tighten your skin even after cleansing\nKey Ingredients: Rice bran extract and black sesame rich in amino acids and minerals for moisture and stronger skin.\nGreat Gift: Perfect for grand parents, moms, dads, girlfriends and boyfriends as a birthday gift and event for special occasions. Present your loved ones with this Beauty of Joseon Cleansing Bar Soap""}",No special feature,4.5,"{""ASIN"": ""B09N8NGJ77"", ""Manufacturer"": ""Beauty of Joseon"", ""Product Dimensions"": ""2.4 x 1.22 x 3.23 inches; 3.53 ounces""}","#25,848 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#30 in Facial Cleansing Bars",,0
B0B348PSL7,Beauty of Joseon Serum Line (Hanbang Serum Discovery Kit),11,Skin Care Products,No brand,23.45,"1440","{""description"": ""[Calming Serum] This product is designed to improve easily irritated and sensitive skin. 50% of green tea water+ 30% mugwort, which is known for its soothing effect, and 5% of panthenol, which creates synergy, are blended together. Panthenol forms a moisture film on the skin surface to protect it from external stimuli.\n[Glow Deep Serum] This product is made for skin with pigmentation. It helps equalize the skin tone by blending 68.6% of rice bran water, which is rich in amino acids and minerals and help keep dry skin moist, and 2% of arbutin, which prevent excessive production of melanin and help prevent pigmentation.\n[Glow Serum] This product is designed to improve skin with skin problems. 59.94% of propolis extract, which helps relieve skin troubles, 2% of niacinamide, reduces skin troubles by balancing oil and moisture, and 0.5% of betaine salicylate helps remove sebum in pores are blended together.\n[Revive Serum] This product is made for skin that has pigmentation and low elasticity. It has been formulated to help improve wrinkles and repair damaged skin by combining 3% of snail mucus filtrate that can create the most synergy with ginseng, an oriental herbal ingredient, well-known for its effectiveness""}",No special feature,4.5,"{""ASIN"": ""B0B348PSL7"", ""Manufacturer"": ""Beauty of Joseon"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""8809738315897"", ""Product Dimensions"": ""3.15 x 4.72 x 1.38 inches; 3.53 ounces""}","#11,750 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#271 in Facial Serums",Set contains four face serums that have a potent formulation for targeted skin issues.,0
B0B3R1R2DG,"Beauty of Joseon Revive Snail Mucin Ginseng Serum Hydrating Peptide Facial Moisturizer Dark Spot Acne Scar Remover for Sensitive Face. Korean Skin Care for Men and Women, 30ml, 1fl. oz",6,Skin Care Products,Beauty of Joseon,16.69,"1578","{""description"": ""Revitalize Your Skin: Beauty of Joseon Revive Serum Ginseng+Snail Mucin combines snail mucin and ginseng for a powerful skincare experience.\nYouthful Radiance: Address acne scar and achieve deep hydration with this serum, leaving your skin plump and visibly youthful.\nVersatile Skincare: Snail mucin, ginseng and peptide-rich formula care the skin's barrier, making it suitable for dry, acne-prone skin. Corrects dark spots for an even complexion.\nGreat Gift: Perfect for grand parents, moms, dads, girlfriends and boyfriends as a birthday gift and event for special occasions. Present your loved ones with this ginseng cleansing oil korean skincare.\n\""Comprehensive Solution: Use it as a makeup line, snail mucin moisturizer, or eye cream. Lightweight texture absorbs quickly, suitable for all skin types.""}",No special feature,4.5,"{""UPC"": ""889810315838"", ""ASIN"": ""B0B3R1R2DG"", ""Manufacturer"": ""BEAUTY OF JOSEON"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""8809738316139"", ""Product Dimensions"": ""1.73 x 1.73 x 3.78 inches; 1.01 ounces""}","#4,928 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#122 in Facial Serums",,0
B0B3R661JP,"Beauty of Joseon Radiance Cleansing Balm Makeup, Sunscreen, Pore Cleanser for Sensitive Acne Skin. Korean Skincare for Men and Women 100ml, 3.38 fl.oz",9,Skin Care Products,No brand,17.49,"1075","{""description"": ""Thorough and Gentle Cleansing: Immerse your skin in the Beauty of Joseon Radiance Cleansing Balm for a melt-away experience that effortlessly removes makeup, sunscreen, and dirt. This balm cleanser ensures a deep cleanse without any irritation, leaving your face feeling refreshed and rejuvenated.\nHydration Infusion: Unlike traditional cleanser balm, our balm doesn't strip your skin of its natural moisture. The ultra-hydrating formula keeps your skin moist and hydrated, promoting a healthy and radiant complexion.\nNo Residue, No Smudging: Revel in the clean sensation as this balm leaves no residue behind. Say goodbye to smudging and hello to a pristine canvas for your skincare routine.\nSolid balm texture: It has solid sherbet texture that melts to remove all traces of makeup and impurities at once without stinging eyes\nGreat Gift: Perfect for grand parents, moms, dads, girlfriends and boyfriends as a birthday gift and event for special occasions. Present your loved ones with this ginseng cleansing oil korean skincare.""}",No special feature,4.5,"{""ASIN"": ""B0B3R661JP"", ""Manufacturer"": ""Beauty of Joseon"", ""Item model number"": ""8809606851663"", ""Product Dimensions"": ""2.72 x 1.97 x 2.72 inches; 4.94 ounces""}","#6,937 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#133 in Facial Cleansing Washes",,0
B0B45LL4DD,"Beauty of Joseon Revive Eye Serum with Retinal Niacinamide Correction for Puffy Eye Bags Fine Lines Dark Circles Wrinkles, Korean Skin Care 30ml, 1 fl.oz",1,Skin Care Products,Beauty of Joseon,16.1,"7625","{""description"": ""Ginseng and Retinol Synergy: Experience the power of ginseng and retinol working in perfect harmony. This serum is a tribute to age-old Korean beauty wisdom, bringing you the best of nature's rejuvenating elements.\nYouthful Radiance: Unveil brighter, more youthful eyes as the serum addresses fine lines, wrinkles, and signs of fatigue. Let the potent blend of ingredients breathe life into your skin, leaving you with a radiant and revitalized gaze.\nKey Ingredients: Ginseng Extract for skin elasticity and protection, Retinal for reduction of wrinkles and Niacinamide for brightness\nDeep Hydration: Ginseng root extract deeply moisturizes, maintaining skin vitality. Unveil well-nourished, age-defying skin with lasting moisture.\nGreat Gift: Perfect for grand parents, moms, dads, girlfriends and boyfriends as a birthday gift and event for special occasions. Present your loved ones with this eye cream serum.""}",No special feature,4.3,"{""ASIN"": ""B0B45LL4DD"", ""Manufacturer"": ""GREEN COS Co., Ltd."", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""JSMS01-I"", ""Product Dimensions"": ""1.06 x 1.26 x 6.26 inches; 1.76 ounces""}","#134 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#1 in Eye Treatment Serums",Eye Serum with Retinal Niacinamide Correction for Puffy Eye Bags Fine Lines Dark Circles Wrinkles,0
B0BBQZVQS3,"Beauty of Joseon Calming Serum Green Tea Panthenol Soothing, Moisturizing Sensitive, Acne-Prone, UV Irritated Skin, Daily Korean Skin Care for Men and Women, 30ml 1 fl.oz",7,Skin Care Products,Beauty of Joseon,16.89,"681","{""description"": ""Soothing & Calming: Indulge in the calming embrace of Mugwort and Green Tea, specially formulated to soothe even the most sensitive skin, providing a tranquil and relaxing effect.\nHydration Boost: Immerse your skin in a surge of moisture with the power of Green Tea, Mugwort, and Panthenol, leaving it plump and rejuvenated.\nGlowing Complexion: Experience a radiant glow as the serum revitalizes and energizes your skin, unveiling a natural and healthy luminosity.\nTimeless Beauty: Harness the timeless beauty inspired by centuries of oriental wisdom, as this serum combines natural ingredients for a skincare ritual that is both effective and rooted in tradition.\nGreat Gift: Perfect for grand parents, moms, dads, girlfriends and boyfriends as a birthday gift and event for special occasions. Present your loved ones with this ginseng cleansing oil korean skincare.""}",No special feature,4.4,"{""ASIN"": ""B0BBQZVQS3"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""8809738316412"", ""Product Dimensions"": ""3.15 x 1.57 x 3.94 inches; 1.06 ounces""}","#5,392 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#134 in Facial Serums",,0
