"review_num","ASIN","customer_id","customer_name","title","date","review_rating","content"
B083QCJPDD__0,B083QCJPDD,R3EPSN1ZWCF4CY,Stephanie Brooke Dowdy,[Beauty of Joseon] Centella Asiatica Calming Mask 10ea,"Reviewed in the United States on January 14, 2025","5.0 out of 5 stars","This brand is quickly becoming my favorite. I have the rice mask and just purchased these as well. Oh my god! My skin loves it. It doesn't irritate or burn, makes my skin dewy and tightened my pores. I didn't notice a smell but I don't have the strongest nose.

The only thing I don't like is the fit of the mask. It's almost like they cut the holes a bit off.. either way there's plenty of it to stretch and move around to fit everything.

Doesn't change my opinion though, this will be a staple for me"
B083QCJPDD__1,B083QCJPDD,R1TWLDLFKIXWDI,I J,[Beauty of Joseon] Centella Asiatica Calming Mask 10ea,"Reviewed in the United States on January 5, 2025","5.0 out of 5 stars",Love the masks. Leaves my face cool and soft after I remove it. Will continue to use this product.
B083QCJPDD__10,B083QCJPDD,R34HB6IBWN3DVH,Damla,[Beauty of Joseon] Centella Asiatica Calming Mask 10ea,"Reviewed in the United States on October 19, 2024","3.0 out of 5 stars","I always get excited when I buy new skincare, it was my first time shopping from this brand and the face mask arrived wide open. I like to open the box and have the feeling of brand new products so giving 3 stars."
B083QCJPDD__11,B083QCJPDD,R2AAAFX82MASA3,Jones,[Beauty of Joseon] Centella Asiatica Calming Mask 10ea,"Reviewed in the United States on October 19, 2024","5.0 out of 5 stars","Calmed my upset, blotchy, red trentotin skin immediately! Love this!"
B083QCJPDD__12,B083QCJPDD,R3AT92MPMFR70P,celesteina,[Beauty of Joseon] Centella Asiatica Calming Mask 10ea,"Reviewed in the United States on October 9, 2024","2.0 out of 5 stars",Sealed but there was not much serum on the mask.
B083QCJPDD__13,B083QCJPDD,R16GGWMSY1PHI2,bxby,[Beauty of Joseon] Centella Asiatica Calming Mask 10ea,"Reviewed in the United States on October 7, 2024","5.0 out of 5 stars",Moisturizes alotttt
B083QCJPDD__14,B083QCJPDD,R2XND7UU5QC5MT,Celine Jackson,[Beauty of Joseon] Centella Asiatica Calming Mask 10ea,"Reviewed in the United States on September 18, 2024","5.0 out of 5 stars","First of all, let me say it got a very high rating on Yuka, for those of you who know what I’m talking about. I have very sensitive skin and it never irritates me. In fact, it has a nice calming and soothing effect. I recommend!"
B083QCJPDD__15,B083QCJPDD,R2D5FQLGHV9MU6,Brian Mesquita,[Beauty of Joseon] Centella Asiatica Calming Mask 10ea,"Reviewed in the United States on September 11, 2024","2.0 out of 5 stars",The material used for the mask is terrible. There is no structure and removing the plastic from the mask is incredible hard. The serum is thick and makes the mask stick together and makes it impossible to detach from itself. It’s not true to any face structure at all and I have to cut the mouth piece so it fits on my face. Will not purchase thus again.
B083QCJPDD__16,B083QCJPDD,RA255VBL13XV4,Christine Roule,[Beauty of Joseon] Centella Asiatica Calming Mask 10ea,"Reviewed in the United States on August 20, 2024","5.0 out of 5 stars",The masks are so calming & hydrating for dry & irritated skin. My face is so hydrated after removing and it’s not sticky. I keep the masks in the fridge too. It’s very affordable for a pack of 10. The mask sits nice on the face too. Highly recommend.
B083QCJPDD__17,B083QCJPDD,R2GKZ08E8WD5TZ,Kassie,[Beauty of Joseon] Centella Asiatica Calming Mask 10ea,"Reviewed in the United States on August 18, 2024","5.0 out of 5 stars",I like it. Nice and calming. Not very messy either. Like the packaging
B083QCJPDD__18,B083QCJPDD,R33FVJQR1R6K46,Mahi,[Beauty of Joseon] Centella Asiatica Calming Mask 10ea,"Reviewed in the United States on August 17, 2024","4.0 out of 5 stars",Its feels cold on face and calms my skin! The only thing i dont like it after 15 minutes the mask feels very dry so its hard to keep it on longer than that! But overall works well.
B083QCJPDD__19,B083QCJPDD,R2NO8UTIJP2IEN,Wendy Wu,[Beauty of Joseon] Centella Asiatica Calming Mask 10ea,"Reviewed in the United States on August 7, 2024","5.0 out of 5 stars","The moisture from the mask is perfect for my skin at 60. I have been this product line for 4 years, Beauty by Joseon will always be ny skin care treatments. My face is still very moist 3 days after I first applied it!"
B083QCJPDD__2,B083QCJPDD,R21FFF25JDIRG0,Shine,[Beauty of Joseon] Centella Asiatica Calming Mask 10ea,"Reviewed in the United States on January 5, 2025","2.0 out of 5 stars","Recently discovered Beauty of Joseon and I wanted to like this product so much. Not sure about the ""calming"" aspect but it is not meant for dry skin. Tried this 3 nights in a row, and my face absorbed all the serum/moisture after about 7 minutes and still looked super dry the next morning. Maybe it is meant for people with oily skin or only meant to be used in the summer month?"
B083QCJPDD__20,B083QCJPDD,R35MQUDZB5BIBD,Aaron G.,[Beauty of Joseon] Centella Asiatica Calming Mask 10ea,"Reviewed in the United States on August 3, 2024","5.0 out of 5 stars","They are claiming and refreshing and they make my faces so happy. My face looks so much better after use, brighter"
B083QCJPDD__21,B083QCJPDD,R3V1TVFFSNVYKE,susan anne dunbar,[Beauty of Joseon] Centella Asiatica Calming Mask 10ea,"Reviewed in the United States on July 24, 2024","5.0 out of 5 stars",Went on the face nicely. I had to use scissors a lil for the nose part. Other than that they fit nicely. Their is extra serum left in the package and I saved that! U can use it again in your skincare routine. My face felt soft and soothed and not dry after using this mask. Definitely will continue to purchase! For the price u get 10 masks. Definitely worth it
B083QCJPDD__22,B083QCJPDD,R29Z9MSKV38WX2,anhar,[Beauty of Joseon] Centella Asiatica Calming Mask 10ea,"Reviewed in the United States on July 21, 2024","5.0 out of 5 stars",Love this brand and very good quality
B083QCJPDD__23,B083QCJPDD,R1TVHKTL178UI6,Misha,[Beauty of Joseon] Centella Asiatica Calming Mask 10ea,"Reviewed in the United States on July 19, 2024","2.0 out of 5 stars","When i opened my package, the box containing sheetmasks was damaged and insted of 10 sheet masks there were only 6"
